genre_category,artist_genres
International,"italian hip hop, italian pop"
International,italian hip hop
International,"italian adult pop, italian pop, italian pop rock"
International,"italian adult pop, italian pop"
International,"italian adult pop, italian indie pop, italian pop, italian pop rock"
International,israeli pop
International,"irish singer-songwriter, pop"
International,"irish rock, pop rock"
International,"irish rock, permanent wave, rock"
International,"irish pop, neo mellow, pop"
Other,instrumental grime
International,"indonesian pop, indonesian singer-songwriter"
Rock,"indietronica, modern rock, rock"
International,indiecoustica
Other,indie soul
Rock,indie rockism
Rock,"indie rock, modern rock, rock"
Rock,"indie rock, modern rock"
International,"indie rock italiano, italian pop"
Other,indie r&b
International,"indie poptimism, pop, pop rock, uk pop"
Other,"indie poptimism, pop"
Rock,"indie poptimism, modern alternative rock, modern rock, stomp and holler"
Rock,"indie poptimism, modern alternative rock"
Rock,"indie pop, modern rock, pop"
Rock,"indie pop, indie rock, modern rock, washington indie"
Hip-Hop,"indie pop rap, pop rap, underground hip hop"
Hip-Hop,"indie pop rap, pop rap"
Hip-Hop,"indie pop rap, oakland hip hop, pop, pop rap, rap"
Other,"indie folk, stomp and holler"
International,"indie anthem-folk, pop, uk pop"
International,"icelandic indie, icelandic rock, modern alternative rock, modern rock"
Other,"hyperpop, weirdcore"
Other,hyperpop francais
Hip-Hop,"houston rap, viral rap"
Hip-Hop,"houston rap, pop, rap, trap queen"
Other,"hollywood, vapor pop"
Other,"hollywood, show tunes"
Other,"hollywood, post-teen pop, show tunes"
Other,"hollywood, pop, post-teen pop, show tunes"
Other,hollywood
Hip-Hop,"hip pop, neo soul, pop, r&b, urban contemporary"
Hip-Hop,"hip hop, virginia hip hop"
Hip-Hop,"hip hop, rap, underground hip hop"
Hip-Hop,"hip hop, rap, trap"
Hip-Hop,"hip hop, rap, slap house"
Hip-Hop,"hip hop, rap"
Hip-Hop,"hip hop, queens hip hop, rap, sudanese hip hop, sudanese pop, underground hip hop"
Hip-Hop,"hip hop, pop, portland hip hop, rap"
